uri	label
http://id.loc.gov/vocabulary/iso639-2/car	Galibi
http://id.loc.gov/vocabulary/iso639-2/cpf	Créoles et pidgins basés sur le français
http://id.loc.gov/vocabulary/iso639-2/crp	Créoles et pidgins
http://id.loc.gov/vocabulary/iso639-2/dan	Danois
http://id.loc.gov/vocabulary/iso639-2/deu	Allemand
http://id.loc.gov/vocabulary/iso639-2/djk	Ndjuka
http://id.loc.gov/vocabulary/iso639-2/dum	Néerlandais moyen (ca. 1050-1350)
http://id.loc.gov/vocabulary/iso639-2/dut	Néerlandais
http://id.loc.gov/vocabulary/iso639-2/eng	Anglais
http://id.loc.gov/vocabulary/iso639-2/fan	Fang
http://id.loc.gov/vocabulary/iso639-2/fin	Finnois
http://id.loc.gov/vocabulary/iso639-2/fon	Fon
http://id.loc.gov/vocabulary/iso639-2/fra	Français
http://id.loc.gov/vocabulary/iso639-2/frm	Français moyen (1400-1600)
http://id.loc.gov/vocabulary/iso639-2/fro	Français ancien
http://id.loc.gov/vocabulary/iso639-2/ger	Allemand
http://id.loc.gov/vocabulary/iso639-2/hrv	Croate
http://id.loc.gov/vocabulary/iso639-2/ita	Italien
http://id.loc.gov/vocabulary/iso639-2/lat	Latin
http://id.loc.gov/vocabulary/iso639-2/mul	Multilingue
http://id.loc.gov/vocabulary/iso639-2/nah	Langues nahuatl
http://id.loc.gov/vocabulary/iso639-2/nld	Néerlandais, flamand
http://id.loc.gov/vocabulary/iso639-2/nor	Norvégien
http://id.loc.gov/vocabulary/iso639-2/por	Portugais
http://id.loc.gov/vocabulary/iso639-2/sai	Langues sud-amérindiennes
http://id.loc.gov/vocabulary/iso639-2/sco	Écossais
http://id.loc.gov/vocabulary/iso639-2/spa	Espagnol, castillan
http://id.loc.gov/vocabulary/iso639-2/swe	Suédois
http://id.loc.gov/vocabulary/iso639-2/und	Indéterminée
